Posted On,BHK,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact
21,3,1400,270,1,387,1,1,1,3,2
27,1,500,457,2,1812,0,1,1,1,2
52,3,1100,14,1,118,0,1,1,2,2
62,1,400,459,1,1887,4,1,0,1,2
46,4,2800,294,1,2146,5,2,0,5,0
26,2,750,50,1,1593,5,2,0,2,0
56,2,400,196,2,200,4,2,1,1,2
22,2,450,14,2,1822,2,2,1,1,2
38,2,650,1,1,860,4,2,1,2,2
64,2,900,458,2,2071,1,1,1,2,2
53,2,1200,201,2,1257,3,2,1,2,2
73,2,1100,14,2,133,0,1,1,1,2
34,1,500,457,1,2222,0,1,1,1,2
66,1,270,371,1,1535,5,2,0,1,2
37,2,1500,447,1,1750,3,2,2,2,2
41,2,1285,198,2,1183,3,1,1,2,2
51,2,600,313,2,62,0,0,1,2,2
26,1,25,200,1,603,2,2,1,1,2
6,1,540,196,2,2187,5,2,1,2,2
59,2,850,267,1,1171,5,1,0,2,0
73,3,1150,24,1,389,5,2,2,3,0
20,1,450,447,2,688,3,2,1,2,2
39,1,550,267,1,1530,2,1,1,1,2
73,1,500,270,2,1147,5,2,1,1,2
69,2,600,313,2,1700,2,2,1,2,2
53,3,2300,198,1,647,1,1,0,3,0
42,2,1050,10,1,775,3,2,1,2,2
67,4,2000,41,1,1256,5,1,0,5,0
27,2,1400,10,2,711,0,0,1,2,2
53,2,1000,14,2,1011,1,1,1,2,2
67,2,1000,351,1,334,5,0,1,3,0
51,2,600,198,1,2200,2,2,0,2,0
30,2,700,472,1,78,5,2,1,2,0
70,1,300,457,1,522,4,2,1,1,0
73,1,500,16,2,1102,2,1,1,1,2
22,3,1300,369,1,651,5,2,0,3,0
8,2,1200,270,2,156,3,1,1,2,2
73,2,1000,458,2,971,0,1,1,2,2
44,1,550,447,1,143,1,2,0,2,2
55,2,1025,198,1,789,0,1,1,2,0
33,2,800,10,2,1649,1,1,1,1,2
77,1,579,270,2,1391,1,1,1,1,2
49,1,400,1,2,2126,4,2,1,1,2
51,2,750,56,1,728,5,1,1,2,0
13,2,80,16,2,1246,2,1,1,2,2
79,3,1600,108,1,809,1,1,1,3,0
23,3,1400,27,2,1194,1,1,1,2,2
73,2,1105,16,2,561,0,1,1,2,2
14,2,600,10,2,86,1,1,2,1,2
56,3,2500,192,2,2100,3,2,1,2,2
74,3,1350,447,2,1977,1,0,0,3,2
75,2,1280,447,2,1828,3,2,1,3,2
22,2,1050,447,2,199,4,2,1,2,2
60,2,660,196,2,559,0,2,0,1,2
25,2,800,455,2,1884,4,2,1,1,2
76,2,650,409,1,2140,5,2,1,2,0
17,2,585,198,1,1486,2,1,1,1,2
13,3,900,455,1,1501,4,2,0,2,2
47,1,450,459,1,1690,2,0,1,1,2
33,3,704,338,1,1981,5,2,1,2,2
29,2,750,196,1,2076,0,1,1,2,2
6,1,200,198,2,1582,2,2,1,1,2
1,1,1000,196,2,239,4,2,1,1,2
34,2,1283,346,2,590,3,2,0,2,0
49,2,600,10,2,2053,1,2,1,1,2
28,2,800,198,2,1195,1,1,1,2,2
75,2,660,460,1,174,5,1,1,2,0
18,1,700,313,2,453,2,2,1,1,2
78,3,1100,357,1,2138,5,1,1,3,0
68,2,570,455,1,1524,1,2,1,2,2
75,1,300,455,2,1643,3,2,1,1,2
69,2,460,455,1,1179,4,2,0,1,2
22,2,825,145,1,2203,5,0,0,2,0
26,1,630,455,2,2039,2,0,1,1,2
28,2,660,455,1,2118,1,1,2,2,0
75,2,1200,14,2,156,3,2,1,2,2
33,1,200,14,1,141,1,1,1,1,2
59,1,700,14,2,236,4,2,1,1,2
27,2,1040,10,1,834,2,1,0,3,2
78,3,1450,312,2,1215,3,1,1,2,2
64,2,900,457,2,1347,1,0,1,2,2
43,2,700,14,1,1236,0,1,0,2,2
8,1,200,455,2,124,1,1,1,1,2
35,3,1500,4,1,1986,2,2,0,3,2
53,2,650,192,1,260,4,2,1,1,2
13,3,1700,373,2,561,0,0,2,3,2
69,1,400,198,1,1075,2,0,1,1,0
32,2,730,196,1,139,2,2,1,2,0
78,1,600,313,1,1045,0,2,0,1,0
53,2,1350,1,2,1657,0,1,1,2,2
24,4,2700,457,1,660,2,2,0,4,0
19,1,450,192,2,1236,0,2,1,1,2
75,3,1496,27,1,1028,3,1,0,2,0
23,2,700,457,1,197,4,2,0,1,2
22,3,1550,457,1,2058,2,1,1,2,0
18,2,800,10,1,1647,0,1,1,2,2
38,1,150,455,2,1304,3,2,1,1,2
77,3,1250,350,1,225,5,1,1,3,0
20,2,750,10,2,1643,3,2,1,2,2
7,1,450,198,2,1374,5,2,1,1,2
20,2,950,10,2,1804,1,2,2,2,2
75,2,900,10,2,86,1,2,1,2,2
75,4,3300,451,1,2125,3,1,2,4,0
20,3,192,198,2,318,3,1,1,3,2
47,1,350,457,2,265,4,2,1,1,2
65,2,1100,192,2,2052,3,1,1,2,2
35,1,600,198,2,806,0,0,1,1,2
36,2,940,355,2,1634,3,1,1,2,0
64,2,1500,455,2,332,3,1,1,2,2
59,1,150,196,2,1630,0,2,1,1,2
75,1,400,455,2,1524,1,1,1,2,2
71,4,272,458,1,1271,2,0,0,3,0
59,1,400,457,2,1626,0,2,1,1,2
37,3,1800,447,1,228,3,1,1,3,0
75,3,1838,310,2,590,3,2,0,3,0
21,1,433,411,1,79,5,1,1,2,0
47,2,1320,466,2,213,4,0,1,2,2
70,2,1000,455,2,988,1,2,1,2,2
55,2,550,1,2,2114,4,1,1,1,2
13,1,180,192,1,1076,2,2,0,1,2
18,1,490,398,2,285,5,1,1,1,2
46,1,555,371,2,763,5,2,0,1,2
33,3,1250,201,2,1588,3,2,1,2,2
26,3,1400,270,1,1469,2,2,2,3,0
31,1,500,16,2,345,0,1,2,1,2
55,3,950,349,1,1295,5,2,1,3,0
31,3,1500,21,1,711,0,1,1,3,0
58,2,1200,10,1,1762,4,2,1,2,0
42,4,1705,135,1,33,5,1,2,3,0
8,2,850,455,2,419,0,1,1,2,2
72,3,1320,455,1,1759,4,2,0,2,0
14,1,190,455,2,198,4,1,1,1,2
78,2,777,160,1,730,5,1,1,2,0
57,2,850,270,2,1237,1,2,1,2,2
29,4,2800,196,1,1732,2,2,1,4,2
36,2,900,196,2,1640,1,0,1,2,2
43,1,300,271,2,1636,2,1,1,1,2
47,1,600,270,2,337,0,1,1,2,2
45,3,2000,14,1,1904,3,1,1,3,2
53,4,2240,457,1,119,1,0,1,4,0
43,3,1200,270,1,1636,2,1,0,2,0
61,2,1000,455,2,1071,3,1,0,3,2
69,1,505,299,1,639,5,1,1,1,0
53,1,500,196,2,71,3,2,1,1,2
73,2,1000,17,2,679,0,2,1,2,2
78,2,680,335,1,1312,5,0,0,2,0
59,2,960,10,2,1251,1,2,2,2,2
9,1,500,267,2,1270,3,2,1,3,2
14,2,875,201,2,318,3,2,1,2,2
37,4,1691,211,1,1425,5,1,1,6,0
78,2,900,198,1,1510,2,1,0,2,0
43,2,870,267,2,391,1,2,1,2,2
35,2,1250,270,2,48,0,1,2,2,2
75,3,1900,267,1,647,1,1,2,3,0
33,1,700,447,2,752,0,2,1,1,2
22,1,500,14,1,1289,0,1,1,1,2
34,2,900,10,2,558,1,1,2,2,2
45,3,1200,455,1,202,4,2,1,2,0
69,2,650,380,1,617,5,2,0,2,0
24,1,650,16,1,1244,2,1,1,1,0
20,2,850,455,2,1436,1,0,1,1,2
78,2,1440,196,1,416,2,1,0,2,0
32,5,6000,425,2,1359,1,1,1,4,0
26,3,1000,428,1,713,5,0,1,3,0
43,2,550,277,1,912,5,0,1,2,0
69,2,410,198,2,631,2,2,1,1,2
34,2,650,455,1,240,4,2,1,1,2
10,1,500,455,2,170,1,2,1,1,2
75,1,500,429,1,1170,5,2,0,2,0
53,2,900,270,2,1834,1,2,1,2,2
75,3,975,253,1,650,5,1,1,2,0
75,3,1900,428,1,581,3,2,0,3,0
45,3,1500,273,2,1526,3,1,1,3,2
51,2,1155,270,2,878,0,1,2,2,2
78,3,1710,241,1,1114,5,0,1,3,0
79,3,1360,276,2,626,3,0,0,2,2
29,2,950,1,2,1878,1,2,1,2,2
9,2,1120,198,2,1544,1,1,1,2,2
24,2,1100,271,2,376,3,1,1,2,2
67,2,1050,16,2,2074,3,2,1,2,2
66,2,100,267,2,1695,2,2,0,2,2
47,3,1663,183,1,787,5,1,1,2,0
76,3,2000,242,2,164,5,1,1,4,0
69,1,455,158,1,1918,5,2,1,1,0
29,2,600,92,1,1531,5,2,0,2,0
67,2,300,270,1,853,2,2,1,1,2
35,3,1900,196,2,1193,2,0,1,3,2
47,2,700,203,2,1738,5,1,1,2,2
45,1,720,267,1,1823,2,2,1,1,2
43,2,1300,468,1,1000,5,0,1,2,0
76,2,630,271,2,2141,0,0,1,2,2
35,1,600,16,2,1144,0,2,1,1,2
12,2,1045,10,1,1233,0,1,0,2,2
43,2,600,270,2,1956,0,0,1,1,2
34,1,950,10,2,692,4,2,1,2,2
45,3,1400,270,2,318,3,1,1,2,2
60,2,700,198,2,420,1,1,1,2,2
14,3,1480,270,2,1523,1,0,1,2,2
77,3,1850,348,2,1671,3,1,1,3,2
72,2,500,1,1,2216,4,2,0,2,2
75,2,700,455,2,409,1,2,1,2,2
68,2,1000,14,2,2055,1,1,1,2,2
75,2,700,406,1,1928,5,1,1,2,0
63,2,700,467,1,864,0,1,0,2,2
14,2,700,10,2,1142,1,2,1,2,2
75,1,900,271,1,336,0,1,0,1,0
62,3,850,350,2,388,5,2,0,3,0
73,3,1250,447,2,1227,0,1,1,2,2
20,1,300,198,2,256,3,0,1,1,2
35,1,425,200,1,1303,0,1,1,1,0
75,3,1415,300,2,586,1,0,1,2,2
18,2,60,200,2,1244,2,1,1,1,2
75,2,400,16,2,957,1,2,1,2,2
54,1,540,198,1,2102,5,1,2,2,0
55,2,1100,198,2,230,0,1,1,2,2
75,1,400,270,2,374,3,2,1,1,2
55,1,400,270,1,284,5,1,1,1,2
73,2,1000,275,2,2177,5,2,1,2,2
7,2,800,447,1,1544,1,1,0,1,2
69,2,1221,200,1,751,0,2,0,2,2
43,1,240,10,2,494,2,2,1,1,2
72,1,450,349,1,1130,5,0,2,2,0
24,2,650,196,2,1306,1,1,1,2,2
56,2,700,447,1,704,4,2,1,1,2
36,2,1500,455,2,611,4,2,1,2,2
62,2,750,350,1,379,5,0,1,2,0
62,2,1100,459,1,899,0,1,0,2,0
75,3,967,101,1,1702,5,0,1,3,0
30,2,780,93,1,1408,5,2,1,2,0
74,3,1500,1,2,69,3,1,1,3,2
7,2,900,270,2,1079,2,1,1,2,2
29,2,500,447,2,525,4,1,1,2,2
41,2,750,14,2,1523,1,2,1,2,2
42,3,900,458,1,1245,2,1,1,1,2
54,1,550,14,1,1030,0,1,0,1,0
35,1,400,270,1,1078,2,0,1,1,0
68,3,1050,86,1,722,5,1,0,3,0
74,2,670,198,2,1639,2,0,1,2,2
48,1,540,196,2,1056,3,1,1,1,2
73,2,900,457,1,2129,2,1,1,2,0
20,3,1600,313,2,1028,3,1,1,3,2
43,1,400,10,2,1626,0,2,1,1,2
35,2,875,447,2,987,0,1,1,2,2
72,2,800,447,1,240,4,2,1,1,2
39,1,350,196,2,322,0,1,1,1,2
31,1,450,267,2,335,0,2,1,1,2
22,2,900,10,2,149,2,2,1,1,2
64,2,1100,455,1,593,3,2,1,2,2
14,3,1450,426,1,376,3,1,1,3,2
7,2,850,270,2,1461,0,1,1,2,2
76,1,280,53,1,360,5,1,1,1,0
18,1,330,317,1,115,5,1,1,1,2
33,2,600,192,1,2050,1,2,1,2,2
69,4,4500,455,1,867,3,1,2,4,0
31,2,535,270,2,1280,0,2,1,1,2
13,1,900,270,2,914,2,0,1,1,2
29,1,350,455,1,196,4,2,1,1,2
75,2,850,20,1,225,5,0,0,2,0
53,2,1015,455,2,1542,1,1,1,3,2
7,2,1100,457,2,2107,0,1,1,2,2
17,1,800,196,2,239,4,2,1,1,2
75,3,1710,363,1,89,0,2,1,3,0
76,1,500,275,1,467,5,1,1,1,2
68,3,1100,200,2,1394,3,1,1,3,2
49,2,1140,270,2,1412,3,1,1,2,2
53,2,110,196,2,1257,3,1,1,2,2
34,2,1030,10,1,354,1,1,1,2,2
49,3,1155,111,2,1436,1,2,1,2,2
46,4,1800,372,2,535,2,1,1,4,2
78,4,2200,49,1,1816,5,1,1,5,0
62,3,1000,357,1,388,5,0,1,3,0
36,3,1771,200,2,219,3,2,1,3,2
71,2,1100,457,2,1386,2,2,1,2,2
18,1,700,17,2,1244,2,1,1,1,2
3,2,550,196,1,2027,4,2,1,1,2
75,1,300,10,2,2006,1,2,0,1,2
35,4,2900,387,1,2234,0,0,0,4,0
40,2,420,455,1,237,4,2,0,1,2
75,3,2000,10,1,230,0,1,1,3,0
75,2,1200,447,2,80,3,2,1,2,2
55,2,700,447,1,2131,0,1,1,1,2
61,2,1000,457,2,532,0,1,1,2,2
43,2,1100,198,2,1461,0,1,1,2,2
75,3,1700,452,2,649,3,0,1,3,2
78,4,2500,185,1,815,5,0,1,4,0
43,1,350,192,1,370,0,2,1,1,2
35,1,300,457,2,213,4,1,1,1,2
49,1,400,196,2,1321,0,1,1,1,2
60,1,440,270,2,559,0,1,1,1,2
35,3,2000,270,2,837,2,2,1,3,2
1,3,1700,455,2,1758,4,2,1,2,2
62,2,1100,267,1,374,3,2,0,2,2
51,2,955,412,1,1138,5,2,1,2,0
66,1,450,355,1,329,5,1,0,2,0
75,2,888,341,1,1831,5,1,1,2,0
8,2,900,1,2,670,1,2,0,2,2
43,2,600,14,2,878,0,1,1,2,2
57,2,1020,261,2,2046,1,1,1,2,0
75,2,900,455,1,962,3,1,0,2,2
69,2,650,1,1,1884,4,2,1,1,2
26,2,650,198,1,395,2,2,1,2,0
71,1,630,257,2,1923,5,1,1,2,0
78,3,1358,319,1,1117,5,1,2,4,0
35,2,900,1,1,86,1,2,0,2,2
43,2,500,17,1,2102,5,0,1,2,2
57,3,2000,16,1,2128,2,1,1,3,0
59,1,1000,455,2,878,0,1,1,2,2
35,3,1500,312,1,1487,0,1,1,3,0
46,3,1525,368,1,1977,1,1,2,3,2
35,2,1300,270,2,226,0,0,1,2,2
62,2,600,17,2,2082,0,2,1,2,2
73,2,1300,455,1,169,2,0,1,2,2
54,2,700,455,1,2041,0,1,1,2,2
24,3,1500,196,1,1549,3,0,2,3,2
75,3,1100,200,1,867,3,1,1,1,0
52,2,723,457,1,1355,4,0,2,1,2
61,2,1600,10,2,1434,3,2,1,3,2
5,2,882,32,2,440,5,2,0,2,2
58,2,1200,1,2,744,4,2,1,1,2
43,4,1648,219,1,1836,5,1,1,5,0
76,1,400,316,1,489,5,2,1,1,0
22,2,700,196,2,2092,0,2,1,1,2
33,1,150,455,2,2071,1,1,1,1,2
62,1,500,457,2,1057,0,0,1,1,2
66,3,1400,301,2,742,0,1,1,3,2
26,2,550,16,1,395,2,2,0,2,0
61,2,850,315,2,1811,3,1,2,2,2
40,3,1400,357,1,225,5,1,1,3,0
57,2,780,10,2,672,1,0,1,1,2
28,3,2400,14,1,1590,1,1,1,3,0
6,1,700,455,2,791,1,2,1,1,2
33,1,500,192,2,2180,3,1,1,1,2
45,3,1100,196,2,1673,4,2,1,3,2
27,1,600,270,2,811,0,1,1,1,2
49,1,450,447,2,1991,1,2,1,1,2
53,2,810,298,1,2112,5,0,1,2,0
48,2,900,14,2,1866,0,1,1,2,2
57,2,1000,457,2,1152,1,1,1,2,2
43,3,1500,457,2,932,0,1,1,2,2
40,2,860,433,1,879,5,1,2,2,0
61,1,450,267,2,1035,1,0,1,1,2
64,2,1100,14,2,1939,4,1,1,2,2
42,2,1400,347,1,686,0,0,0,2,0
28,2,1200,14,2,706,3,2,1,2,2
20,2,950,10,2,1037,3,2,1,2,2
35,3,1450,275,1,1846,5,2,0,3,0
14,3,200,1,2,2032,3,2,1,1,2
7,1,450,14,2,453,2,2,2,1,2
13,2,600,196,2,335,0,1,1,1,2
53,3,1912,16,1,82,1,2,0,3,0
14,2,200,455,2,1509,3,2,1,1,2
9,2,780,10,2,2071,1,1,1,2,2
61,1,560,198,2,1003,1,2,1,1,2
72,2,850,16,1,236,4,1,0,2,2
41,3,1500,200,2,687,3,0,1,3,2
68,2,110,196,2,838,2,1,1,1,2
28,2,600,10,2,26,1,2,1,1,2
45,3,2000,270,1,42,1,1,0,3,0
64,1,650,455,1,928,1,1,1,1,2
75,1,80,455,2,1675,3,1,1,1,2
66,2,850,457,2,1978,0,1,1,2,2
73,1,600,16,1,1338,0,1,1,1,0
67,1,600,10,1,718,0,2,0,1,2
78,2,1000,260,2,11,5,1,1,2,0
13,1,730,198,2,878,0,1,1,1,2
47,1,800,267,1,2083,3,2,1,1,2
37,2,1100,192,2,1011,1,2,1,2,2
14,2,1150,200,2,1412,3,1,1,2,2
51,1,500,196,2,679,0,1,1,1,2
33,2,950,458,2,485,5,1,1,3,2
53,2,1153,111,2,1209,1,1,2,2,2
26,1,350,312,1,394,2,1,0,1,0
39,2,720,316,1,1862,5,2,1,2,0
22,3,1425,459,2,560,0,1,1,2,2
27,2,1100,270,1,716,0,0,0,2,0
27,1,407,344,2,480,5,2,1,2,2
61,2,800,267,1,571,0,2,0,2,2
26,2,950,196,1,257,0,1,1,2,2
68,2,1000,458,2,122,1,1,2,2,2
2,3,1350,10,1,126,4,2,2,2,2
25,4,2200,398,1,815,5,0,2,4,0
35,3,1400,455,1,1760,4,0,1,2,0
62,2,650,313,2,1325,0,1,1,2,2
39,2,650,257,1,1943,5,2,2,2,0
63,3,2000,14,2,1330,4,1,1,2,2
62,2,600,192,1,1337,3,2,0,1,2
31,1,500,192,2,583,0,0,1,1,2
43,2,150,10,2,1502,2,1,1,1,2
43,2,400,198,1,2200,2,2,0,1,0
27,1,800,271,2,1696,2,1,1,1,2
13,1,500,14,2,559,0,1,1,1,2
76,2,750,16,1,963,2,0,0,2,0
61,2,1100,447,2,1585,1,2,1,2,2
38,3,1600,198,2,217,0,1,1,3,2
49,1,500,198,2,593,3,1,1,2,2
61,3,1000,198,1,1777,5,0,1,3,0
75,2,1100,192,2,29,4,0,0,2,0
30,3,1250,14,2,2050,1,1,1,3,2
68,2,1150,313,1,2,3,0,1,2,2
20,1,450,447,2,1875,4,1,1,1,2
75,3,3500,271,1,867,3,1,2,3,0
33,2,700,275,2,2008,3,2,1,2,2
48,2,900,457,1,1409,2,1,1,2,2
55,1,320,349,1,2224,5,0,1,1,0
32,2,95,267,1,1732,2,1,1,2,0
39,1,475,270,2,1336,5,2,1,1,2
56,1,600,16,1,385,2,1,0,1,2
35,3,2900,422,1,1140,1,1,0,3,0
75,3,1550,278,1,733,5,0,1,3,0
32,2,500,14,1,611,4,2,1,1,2
63,2,1300,457,1,1648,3,1,0,2,2
68,2,800,455,1,1884,4,2,1,1,2
67,2,680,270,1,451,5,2,0,2,0
55,1,600,198,2,914,2,0,1,1,2
18,3,1200,313,2,801,5,1,1,3,2
77,2,680,198,1,1530,2,0,0,1,0
51,2,490,196,1,598,5,0,1,2,0
26,3,2000,198,1,583,0,1,1,3,0
60,3,2780,308,2,1342,3,1,1,3,0
59,2,1200,10,2,1647,0,2,1,2,2
75,3,1450,16,1,1306,1,2,0,2,0
43,3,1200,16,2,2085,0,0,1,3,2
62,3,1270,126,1,1112,5,1,0,3,0
31,2,1000,200,2,1006,2,1,1,2,2
77,4,4000,445,2,1525,1,1,0,4,0
8,2,1400,315,2,1270,3,0,1,2,2
19,3,1600,458,1,548,2,0,1,2,0
39,2,736,139,1,1716,5,2,2,2,0
75,1,300,10,2,1313,3,2,1,1,2
62,1,200,196,2,863,0,1,1,1,2
14,3,1400,10,2,1806,1,1,1,3,2
57,2,900,198,2,724,3,1,1,2,2
12,2,1000,447,2,1580,4,2,1,1,2
51,2,750,313,1,1030,0,2,1,2,0
40,2,600,198,1,1234,0,1,0,2,2
71,2,650,457,2,99,4,1,1,2,2
47,2,500,455,2,200,4,2,1,1,2
27,1,225,316,1,1133,5,1,0,1,0
72,2,850,1,1,1760,4,2,0,2,0
18,1,400,196,2,307,0,2,1,1,2
62,2,700,270,1,798,5,0,0,2,0
5,1,600,10,2,2143,0,2,1,1,2
43,2,800,14,1,338,3,2,0,2,2
43,3,1900,361,1,842,0,2,0,3,0
69,2,650,196,1,2092,0,2,2,2,2
38,1,450,192,1,754,1,2,1,1,2
76,2,900,375,1,1126,5,1,0,2,0
72,2,550,10,1,1762,4,0,1,2,0
20,3,1400,198,1,336,0,0,1,2,2
7,2,1350,61,2,501,0,1,1,2,2
14,2,1200,196,2,393,1,0,1,2,2
55,2,475,403,1,651,5,2,0,2,0
18,2,740,460,1,1887,4,2,0,1,2
31,1,600,196,2,343,0,1,1,1,2
67,1,380,275,1,2228,5,2,0,2,2
74,2,910,447,2,1217,1,1,1,2,2
14,2,860,14,2,2053,1,1,1,2,2
74,1,550,192,2,1464,1,0,1,1,2
78,2,615,359,1,155,5,2,2,2,0
28,2,850,10,2,414,1,2,1,2,2
53,2,750,10,2,927,1,2,1,2,2
65,1,200,14,2,858,4,2,1,1,2
35,2,750,16,2,1288,0,1,1,1,2
33,2,600,271,2,1013,0,1,1,1,2
66,1,480,371,1,2150,5,0,1,2,0
18,2,1180,14,1,559,0,1,2,2,2
62,2,900,1,1,2050,1,2,0,1,2
41,1,422,428,1,1336,5,1,2,2,0
7,2,900,10,1,31,1,1,1,2,2
76,2,590,381,1,1723,5,2,2,2,0
42,2,750,351,1,665,5,1,1,2,0
75,3,1920,360,2,1997,1,1,2,3,0
55,2,900,198,2,1848,0,1,1,2,2
75,2,1080,10,2,1537,1,2,1,2,2
49,2,700,455,1,1419,4,1,1,2,2
13,3,1500,196,2,1636,2,0,1,3,2
39,3,1850,17,2,1025,3,1,2,2,2
69,2,890,333,1,2154,0,1,1,2,0
20,1,500,196,2,95,1,2,1,1,2
62,2,790,192,1,1042,1,1,1,2,2
9,1,510,270,1,365,5,1,1,1,2
35,1,500,313,2,559,0,0,1,2,2
75,2,1350,271,2,1056,3,1,1,2,2
75,2,610,312,1,950,1,0,1,1,0
64,3,1152,68,1,889,5,0,1,2,0
39,1,600,348,2,1835,5,0,1,1,2
68,3,900,455,2,100,1,1,1,2,2
38,2,600,196,2,1825,0,2,1,1,2
31,1,695,202,1,2029,5,0,1,2,0
28,3,1500,270,1,1849,1,1,2,3,2
58,1,200,447,1,1762,4,2,1,1,0
61,1,400,196,2,1661,1,2,1,1,2
60,2,700,458,2,1184,4,2,0,2,0
75,3,1300,371,1,1816,5,1,1,3,0
72,1,450,1,1,232,4,2,1,1,2
55,1,450,198,2,456,5,2,2,1,2
65,3,225,447,1,1605,3,2,1,3,2
6,3,1200,447,1,1288,0,1,0,2,2
20,3,2400,457,2,2037,1,0,1,3,2
62,2,775,196,1,1303,0,1,1,1,0
64,3,1100,297,2,1634,3,1,1,2,2
28,3,1000,10,2,1183,3,2,1,2,2
75,3,2600,409,1,711,0,1,2,4,0
56,2,674,457,1,423,1,2,0,2,2
75,4,3133,90,1,2125,3,0,2,5,0
22,3,1200,455,2,192,0,1,2,3,2
71,5,4050,459,2,223,3,2,1,4,2
20,2,1200,447,2,2034,3,2,1,2,2
22,1,499,196,1,418,2,1,2,1,2
65,2,392,455,2,817,4,2,1,1,2
62,3,1400,10,1,627,5,0,1,3,2
58,2,500,196,2,214,0,1,1,1,2
39,2,750,305,1,2230,5,2,1,2,0
54,2,800,455,2,215,0,1,2,2,2
7,2,600,196,1,168,2,1,0,2,2
71,2,1000,196,2,955,3,2,1,2,2
24,2,1250,455,2,1587,3,2,1,3,2
68,1,600,10,2,1524,1,2,1,1,2
38,1,240,313,2,1193,2,1,0,1,2
53,2,724,356,1,61,5,2,1,2,0
62,2,774,31,1,1131,5,1,2,2,0
31,2,600,10,2,1236,0,1,1,2,2
8,2,800,196,2,380,3,2,1,1,2
66,3,1768,404,2,2154,0,1,2,3,0
78,4,2000,370,1,441,5,0,2,4,0
45,2,803,10,2,1284,1,1,1,2,2
69,2,650,10,1,1920,4,2,0,1,2
76,1,250,16,2,1027,0,1,1,1,2
35,2,1200,10,2,981,0,1,1,2,2
70,1,435,275,1,579,5,2,1,2,0
67,3,999,97,1,1453,5,1,2,2,0
75,3,2000,14,2,972,1,1,1,3,2
31,3,1600,198,1,317,0,1,1,3,0
22,2,750,26,1,379,5,2,1,2,0
63,2,800,192,2,699,1,2,1,2,2
1,1,800,447,1,1782,4,2,1,1,2
75,1,400,10,2,347,0,2,1,1,2
7,1,640,52,2,287,5,0,1,2,2
63,2,450,196,1,1106,4,2,0,1,2
22,3,800,458,2,333,4,2,1,1,2
76,1,650,457,2,857,0,1,1,1,2
56,3,2400,14,2,228,3,0,1,3,0
73,1,300,458,1,1102,2,1,1,1,0
20,2,800,198,2,1255,3,1,1,2,2
79,3,2405,26,2,995,3,1,0,4,0
43,1,800,455,2,652,0,0,1,1,2
75,3,2120,431,2,1876,1,0,1,3,2
33,2,800,270,2,316,3,0,1,2,2
27,2,900,196,2,1945,0,1,1,2,2
13,1,380,171,1,2225,5,2,1,1,2
59,1,500,196,2,614,0,1,1,1,2
35,1,100,196,2,805,0,1,1,2,2
43,2,950,458,2,2032,3,1,1,2,2
71,2,1140,200,2,1007,3,1,2,2,2
39,1,490,462,2,285,5,2,1,1,2
44,1,220,455,2,1400,4,2,1,1,2
38,2,805,10,2,1152,1,1,1,2,2
78,3,1450,200,1,220,3,1,2,3,2
